class,image,iou,dice,precision,recall
FV,9866_acanthopagrus_palmaris_f000440,0.000000,0.000000,1.000000,0.000000
FV,9870_Gerres_f000000,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000010,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000020,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000030,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000040,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000080,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000090,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000100,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000110,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000120,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000130,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000140,0.000000,0.000000,0.000000,0.000000
FV,9870_Gerres_f000180,0.000000,0.000000,0.000000,0.000000
FV,9892_Acanthopagrus_palmaris_2_f000000,0.000000,0.000000,1.000000,0.000000
FV,9892_Acanthopagrus_palmaris_2_f000010,0.000000,0.000000,1.000000,0.000000
FV,9892_Acanthopagrus_palmaris_2_f000020,0.000000,0.000000,1.000000,0.000000
FV,9892_Acanthopagrus_palmaris_2_f000030,0.000000,0.000000,1.000000,0.000000
FV,9892_Acanthopagrus_palmaris_2_f000040,0.000000,0.000000,1.000000,0.000000
FV,9892_Caranx_f000000,0.000000,0.000000,1.000000,0.000000
FV,9892_Caranx_f000010,0.000000,0.000000,1.000000,0.000000
FV,9892_Caranx_f000030,0.000000,0.000000,1.000000,0.000000
FV,9892_Caranx_f000040,0.000000,0.000000,1.000000,0.000000
FV,9892_acanthopagrus_palmaris_f000010,0.000000,0.000000,1.000000,0.000000
FV,9892_acanthopagrus_palmaris_f000020,0.000000,0.000000,1.000000,0.000000
FV,9892_acanthopagrus_palmaris_f000030,0.000000,0.000000,1.000000,0.000000
FV,9892_acanthopagrus_palmaris_f000040,0.000000,0.000000,1.000000,0.000000
FV,9892_acanthopagrus_palmaris_f000050,0.000000,0.000000,1.000000,0.000000
FV,9892_acanthopagrus_palmaris_f000060,0.000000,0.000000,1.000000,0.000000
FV,9892_acanthopagrus_palmaris_f000070,0.000000,0.000000,1.000000,0.000000
FV,9894_Amniataba_caudivittatus_f000000,0.000000,0.000000,0.000000,0.000000
FV,9894_Amniataba_caudivittatus_f000010,0.000000,0.000000,0.000000,0.000000
FV,9894_Amniataba_caudivittatus_f000020,0.000000,0.000000,0.000000,0.000000
FV,9894_Amniataba_caudivittatus_f000030,0.000000,0.000000,0.000000,0.000000
FV,9894_gerres_2_f000000,0.000000,0.000000,0.000000,0.000000
FV,9894_gerres_2_f000010,0.000000,0.000000,0.000000,0.000000
FV,9894_gerres_2_f000040,0.000000,0.000000,0.000000,0.000000
FV,9894_gerres_2_f000050,0.000000,0.000000,0.000000,0.000000
FV,9894_gerres_f000000,0.000000,0.000000,0.000000,0.000000
FV,9894_gerres_f000010,0.000000,0.000000,0.000000,0.000000
FV,9894_gerres_f000020,0.000000,0.000000,0.000000,0.000000
FV,9894_gerres_f000030,0.000000,0.000000,0.000000,0.000000
FV,9894_lutjanus_johnii_f000000,0.000000,0.000000,0.000000,0.000000
FV,9894_lutjanus_johnii_f000010,0.000000,0.000000,0.000000,0.000000
FV,9894_lutjanus_johnii_f000020,0.000000,0.000000,0.000000,0.000000
FV,9898_Acanthopagrus_palmaris_f000000,0.000000,0.000000,1.000000,0.000000
FV,9898_Acanthopagrus_palmaris_f000010,0.000000,0.000000,1.000000,0.000000
FV,9898_Acanthopagrus_palmaris_f000020,0.000000,0.000000,1.000000,0.000000
FV,9898_Acanthopagrus_palmaris_f000030,0.000000,0.000000,1.000000,0.000000
FV,9898_Acanthopagrus_palmaris_f000040,0.000000,0.000000,1.000000,0.000000
FV,9898_Acanthopagrus_palmaris_f000050,0.000000,0.000000,1.000000,0.000000
FV,9898_Acanthopagrus_palmaris_f000060,0.000000,0.000000,1.000000,0.000000
FV,9898_Acanthopagrus_palmaris_f000070,0.000000,0.000000,1.000000,0.000000
FV,9898_Acanthopagrus_palmaris_f000080,0.000000,0.000000,1.000000,0.000000
FV,9898_Acanthopagrus_palmaris_f000090,0.000000,0.000000,1.000000,0.000000
FV,9908_Acanthopagrus_palmaris_f000010,0.000000,0.000000,0.000000,0.000000
FV,9908_Acanthopagrus_palmaris_f000020,0.000000,0.000000,0.000000,0.000000
FV,9908_Acanthopagrus_palmaris_f000030,0.000000,0.000000,0.000000,0.000000
FV,9908_Acanthopagrus_palmaris_f000040,0.000000,0.000000,0.000000,0.000000
FV,9908_Acanthopagrus_palmaris_f000050,0.012931,0.025533,0.376883,0.013214
FV,9908_Acanthopagrus_palmaris_f000060,0.000000,0.000000,0.000000,0.000000
FV,9908_Acanthopagrus_palmaris_f000070,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000010,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000020,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000030,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000040,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000050,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000120,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000130,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000140,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000150,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000160,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000170,0.000000,0.000000,0.000000,0.000000
FV,9908_Epinephelus_f000180,0.000000,0.000000,0.000000,0.000000
